landmark,total_puntos,x_media,y_media,x_std,y_std,distancia_centro,dispersion_total,COVID_count,COVID_x_media,COVID_y_media,COVID_dispersion,Normal_count,Normal_x_media,Normal_y_media,Normal_dispersion,Viral Pneumonia_count,Viral Pneumonia_x_media,Viral Pneumonia_y_media,Viral Pneumonia_dispersion
landmark_01,640,149.71156249999999,38.86475,13.14391211487637,18.282285063005663,110.63545228024292,22.516757599809832,160,148.9450625,37.930125,26.617321051910327,328,150.69631097560975,41.577439024390245,21.486603120874328,152,148.3934210526316,33.99486842105264,18.648801502767203
landmark_02,640,148.92337500000002,235.812640625,11.722100848264146,29.509029307711053,86.3145667199403,31.752015038107814,160,152.274,227.87075,33.895855309867905,328,148.57405487804877,230.83030487804876,29.21150469131755,152,146.15019736842106,254.92388157894743,26.25423646314651
landmark_03,640,63.041125,87.283734375,16.757437769819553,17.11631660209618,106.51760781479362,23.953705655546663,160,63.91737500000001,86.69262499999999,30.972593146502117,328,62.64286585365854,87.39826219512194,21.835563351484048,152,62.978157894736846,87.65881578947368,19.379549834380597
landmark_04,640,236.367625,88.108578125,16.969928558979706,16.49410910967978,106.37147621883818,23.66503983979103,160,235.871,83.45125,27.12329063623181,328,238.3227134146341,89.53478658536585,23.0596871918185,152,232.6715131578948,89.93342105263159,19.58229506686332
landmark_05,640,50.252296875,136.805359375,16.44031121985272,19.020665723321823,100.05628654005723,25.140993567557448,160,51.0698125,134.549625,31.960342503628127,328,50.86393292682928,134.9855487804878,22.600671418349386,152,48.071907894736846,143.10677631578946,20.625561310879526
landmark_06,640,248.41217187500007,137.579203125,16.418664421222243,18.53794684616504,99.62792351125545,24.76344109060672,160,248.42693749999998,130.95825,28.268355840649697,328,248.93374999999997,137.1077743902439,23.78688382196733,152,247.27111842105268,145.56592105263155,20.188686967047364
landmark_07,640,42.91621875,185.824171875,17.094522014073643,23.98706607088931,112.6034985600021,29.455084817037235,160,45.14243750000001,181.969625,35.0335085245964,328,43.671189024390245,182.08966463414635,26.760822571312392,152,38.943684210526314,197.94026315789472,24.515235129661797
landmark_08,640,255.244046875,186.75856249999998,16.724947440995226,23.70537927736221,112.11602886772526,29.01153001114637,160,255.17112500000002,178.2324375,31.990459373350184,328,255.07219512195124,184.42560975609757,27.70722527815651,152,255.69164473684208,200.76769736842107,22.917915076778094
landmark_09,640,149.30306249999998,87.97729687500001,11.446207668747487,15.682579857101485,61.52301832798672,19.415431516462853,160,149.6169375,85.3496875,23.871403352619165,328,149.92731707317074,88.76557926829268,18.35547357463922,152,147.6255921052632,89.04217105263157,15.710304892151612
landmark_10,640,149.19365625,137.309125,10.590995264579055,17.29484755778076,12.194723439208827,20.2800624442138,160,150.5225,133.0605,24.240675057638143,328,149.52844512195122,136.11091463414635,18.871718858133534,152,147.07243421052632,144.3669736842105,16.31389418467165
landmark_11,640,148.9455,186.40096875,10.661245283736793,22.59969481263018,36.90513466901966,24.98816433081917,160,151.223375,180.334875,28.079163824689473,328,148.84478658536585,183.2720426829268,22.967614561546313,152,146.76506578947368,199.53822368421052,20.448761193294178
landmark_12,640,103.12370312500002,38.4195625,16.849860854562426,18.86085838936271,120.37285618871698,25.291298701365832,160,104.94168750000001,38.484750000000005,30.409274760586513,328,105.01643292682927,40.851310975609756,23.270727127555272,152,97.12572368421053,33.10348684210526,21.51975814473032
landmark_13,640,198.00745312499998,38.901359375000006,17.239662090139056,18.508392434132404,120.76850713978364,25.293606691771483,160,194.4961875,37.142125,28.482223387127252,328,199.06768292682926,41.876615853658535,24.159373451246086,152,199.41565789473685,34.33289473684211,22.79677485565123
landmark_14,640,36.52153125,235.199375,17.437146837793545,30.503892619170347,141.8045037242659,35.13604352747544,160,39.419125,229.85600000000005,39.4052713096151,328,37.03387195121952,229.44856707317075,32.222242933446324,152,32.3658552631579,253.23361842105265,29.49165620167269
landmark_15,640,260.81407812500004,236.32359375000004,17.4020659538644,30.283510822062244,141.1706783311735,34.92739508140576,160,261.157625,226.001875,37.21772690323457,328,260.11448170731705,232.04097560975606,33.196280215123835,152,261.96210526315787,256.43,27.23934148461074
