landmark,total_puntos,x_media,y_media,x_std,y_std,distancia_centro,dispersion_total,COVID_count,COVID_x_media,COVID_y_media,COVID_dispersion,Normal_count,Normal_x_media,Normal_y_media,Normal_dispersion,Viral Pneumonia_count,Viral Pneumonia_x_media,Viral Pneumonia_y_media,Viral Pneumonia_dispersion
landmark_01,999,149.87391391391392,38.06296296296296,12.797251691181355,17.958371979491442,111.43766434742332,22.051593479865065,200,149.26615,38.263149999999996,26.021083764036426,400,150.92482499999997,41.229974999999996,21.36870792113435,200,148.12165000000002,34.1521,18.299503719158615
landmark_02,999,149.23354354354353,236.348028028028,11.920148984289732,30.0305709003978,86.84843678155829,32.30983039898976,200,151.60245,227.5203,33.962441923505736,400,148.91592500000002,229.94955000000002,30.259272850514357,200,146.72065,255.27074999999996,25.98724156225512
landmark_03,999,63.465415415415414,86.84346346346346,16.659197251238076,17.286788686146885,106.43209720472663,24.007538735471286,200,64.12154999999998,86.3829,30.284104224617575,400,62.75485,86.96695,22.614864252853696,200,63.00020000000001,88.06455,19.295039071157642
landmark_04,999,236.36217217217217,87.63381381381382,16.39240037262276,16.67927552987752,106.64174580196976,23.386086080786026,200,235.74265,84.18715,26.97078461697027,400,238.60442500000002,89.03417499999999,22.904677120377624,200,232.23864999999998,89.86354999999999,19.624730637004934
landmark_05,999,50.44176176176176,136.685975975976,16.440149975913535,19.670424306959912,99.8836011292736,25.635992737679754,200,51.1108,134.0823,31.49156269653826,400,51.0172,134.3745,23.757454186212797,200,48.30789999999999,143.6133,20.559679075802716
landmark_06,999,248.50233233233234,137.40134134134135,15.89202397089676,18.924719363985513,99.73885576133463,24.71237400366799,200,248.23989999999998,131.58295,28.19966852265289,400,249.05735,136.476675,23.847570613625933,200,246.90840000000003,145.3888,20.33891897323946
landmark_07,999,42.870600600600596,186.07098098098098,17.2430530277372,24.677119338721365,112.72650738042012,30.104536146150018,200,44.873599999999996,181.22210000000004,34.87164449276804,400,43.811075,181.4093,27.986606914815074,200,39.26825,198.55509999999998,24.46442485380558
landmark_08,999,255.49317317317318,186.94545545545546,16.266040375904385,24.04864999400802,112.41314377591607,29.033112751560996,200,254.96665000000002,178.81645,31.84181271810699,400,255.270425,183.663475,28.04874991410045,200,255.3402,200.68044999999998,23.17548806945606
landmark_09,999,149.4112112112112,87.5075975975976,11.415429113979497,15.988537505531895,61.99246598636323,19.645491936372853,200,149.6636,85.51895,23.70970523725464,400,150.142425,88.29830000000001,18.58413843790922,200,147.4915,89.23280000000001,15.707737580886688
landmark_10,999,149.3131131131131,137.1911011011011,10.71833120602551,18.063407770658277,12.310317575586934,21.004031140024956,200,150.27125,133.05470000000003,24.42765788706523,400,149.78029999999998,135.530875,19.499869317366592,200,147.16459999999998,144.59445,16.462950420185926
landmark_11,999,149.1167867867868,186.59018018018017,10.897142979271964,23.36508990767982,37.09215979374902,25.78129460490023,200,150.7618,180.10119999999998,28.339244579205,400,149.126275,182.55409999999995,23.90553816721922,200,146.9078,199.88625,20.441783278312585
landmark_12,999,104.30524524524525,37.670170170170174,16.510715576369147,18.367192660755435,120.61706635924754,24.69731756853499,200,105.4207,38.61335,29.399539635638853,400,105.186175,40.47095,23.3415953550068,200,96.98785,33.498000000000005,21.522616148542443
landmark_13,999,197.1637937937938,38.04436436436436,16.449361550435277,18.163606485826083,121.21961868344938,24.505062660374524,200,194.58385,37.726150000000004,27.759984894718514,400,199.24402499999997,41.533675,24.036471804192683,200,199.48930000000001,34.1989,22.665415687783007
landmark_14,999,36.678848848848844,235.753983983984,17.817692379708266,31.123972619435317,142.01535797293286,35.86323790949826,200,38.82335,228.89825000000005,39.33184546541136,400,37.305725,228.594575,33.6647036121477,200,32.6105,253.96274999999997,29.284211662387296
landmark_15,999,260.9461361361361,236.77353353353354,16.889331502581435,30.384867849323413,141.5517958738178,34.76333863173871,200,260.7837,226.35215,36.89765992834099,400,260.421275,231.10567499999996,33.62450350070243,200,261.9042,256.32205,26.924002537837872
