landmark,total_puntos,x_media,y_media,x_std,y_std,distancia_centro,dispersion_total,COVID_count,COVID_x_media,COVID_y_media,COVID_dispersion,Normal_count,Normal_x_media,Normal_y_media,Normal_dispersion,Viral Pneumonia_count,Viral Pneumonia_x_media,Viral Pneumonia_y_media,Viral Pneumonia_dispersion
landmark_01,160,150.2005625,38.135000000000005,12.592899797449107,16.383893462788386,111.36720348835381,20.664295059560917,40,150.5505,39.59525,23.39394846295725,72,151.96583333333334,39.647083333333335,20.717816017158597,48,147.26104166666667,34.65,17.108542729630635
landmark_02,160,149.5001875,235.11212499999996,12.30493191122339,32.40748803107663,85.61212500020528,34.664919296375395,40,148.91625,226.11849999999998,34.05943901751026,72,150.47333333333333,225.93722222222223,34.30593078067398,48,148.52708333333334,256.3691666666667,25.005723077566547
landmark_03,160,63.624812500000004,86.34175,17.354020966762825,17.22049467749112,106.59977660024741,24.448056786835714,40,64.93825,85.144,27.30707597743669,72,63.265,85.00208333333333,25.772313683566843,48,63.06999999999999,89.34937500000001,18.967605432931563
landmark_04,160,236.0171875,87.7145,15.678492201574864,16.59949445013311,106.31402420734602,22.833272514355972,40,235.22925,87.13075,26.139320646776575,72,239.88777777777776,86.75361111111111,21.995795022873615,48,230.86791666666667,89.64229166666667,19.694212368730383
landmark_05,160,50.8071875,135.8343125,16.98698517144357,21.214733135897415,99.63444311084301,27.1776115073085,40,51.274750000000004,132.21300000000002,29.46756150307487,72,51.71541666666667,131.59083333333334,28.26074759604742,48,49.055208333333326,145.21729166666668,20.248159662173283
landmark_06,160,247.93006250000002,137.0895625,14.902686481674833,19.63498937951314,99.20935521761703,24.65000755181806,40,247.49175,134.08175,27.770525631953745,72,249.62041666666664,133.6016666666667,23.90416313331564,48,245.75979166666664,144.82791666666665,20.755774040805758
landmark_07,160,43.040125,184.94806250000002,17.754062351596463,27.22361459966501,112.20637290287719,32.501260311801275,40,43.79825,178.232,34.031598925667595,72,44.44833333333334,178.30986111111113,32.81396571300158,48,40.29604166666667,200.50208333333333,24.171254251168943
landmark_08,160,255.08343750000003,186.4955625,15.697341217817552,25.25050162241522,111.87731637382004,29.732042538180714,40,254.14875,181.1525,31.11735222809775,72,256.1734722222222,180.1915277777778,29.287956987445487,48,254.22729166666667,200.40416666666667,23.9367730153242
landmark_09,160,149.5876875,87.27625,11.437391487019395,15.846621593812985,62.223811785844134,19.54301256113918,40,149.85025000000002,86.196,23.038196032621563,72,151.1223611111111,86.16958333333334,19.420422807686784,48,147.06687499999998,89.83645833333333,15.67676221431918
landmark_10,160,149.4709375,136.652125,10.950364365905536,19.341077897427926,12.847907870331689,22.225835731878988,40,149.26624999999999,133.0315,25.136583622033843,72,150.9276388888889,132.88847222222225,21.90725255054297,48,147.45645833333336,145.31479166666665,16.902808873967103
landmark_11,160,149.12068749999997,185.7656875,11.214676997236422,25.581064154513662,36.267671111064104,27.93134123936206,40,148.9155,179.16649999999998,29.265218989442054,72,150.40861111111113,179.28347222222223,27.508219754651808,48,147.35979166666667,200.98833333333332,20.373904962692336
landmark_12,160,103.48131250000002,37.638312500000005,17.246200999128583,16.428222257059456,120.9576650302506,23.818436880485827,40,107.33675000000001,39.127750000000006,24.856565920798474,72,105.95944444444444,38.738194444444446,23.568790228185577,48,96.55125,34.74729166666667,21.478085281338057
landmark_13,160,198.6716875,38.1350625,16.49235827670936,16.900272852711392,121.73743941769335,23.61391759161189,40,194.93449999999999,40.06225,24.518568722246005,72,200.04736111111112,39.97138888888889,23.388123309504472,48,199.7225,33.77458333333333,22.237393569010187
landmark_14,160,36.4705,234.2651875,18.843605672747454,34.218505482630945,141.28271260901016,39.063891155577984,40,36.44025,225.06725,38.70948271903153,72,38.54416666666667,224.70416666666665,39.31845811589146,48,33.38520833333333,256.2716666666667,28.480702774197006
landmark_15,160,261.15675,235.8125625,15.514254113153495,31.746318118147087,141.12791455229154,35.334413745612,40,259.288,227.75325000000004,35.5147787257291,72,261.81888888888886,226.8448611111111,35.16303605068393,48,261.72083333333336,255.98020833333337,25.896290139943847
